Date,Open,High,Low,Close,Adj Close,Volume
2016-03-08,140.679993,142.970001,137.240005,137.679993,128.127945,1180900
2016-03-09,139.360001,140.600006,136.289993,140.470001,131.334885,978900
2016-03-10,140.130005,142.000000,137.279999,139.399994,130.334473,1087200
2016-03-11,142.000000,144.800003,140.979996,144.119995,134.747498,1230000
2016-03-14,143.190002,149.789993,143.190002,146.580002,137.047546,1143800
2016-03-15,144.889999,147.639999,144.309998,146.279999,136.767014,2547500
2016-03-16,145.919998,150.779999,144.539993,150.750000,140.946320,986900
2016-03-17,151.000000,155.449997,150.929993,151.910004,142.030884,1374100
2016-03-18,151.279999,151.279999,145.500000,147.839996,138.225586,1931900
2016-03-21,147.679993,149.990005,147.000000,148.690002,139.020325,784700
2016-03-22,148.470001,150.940002,148.039993,149.479996,139.758896,837500
2016-03-23,148.649994,149.369995,144.139999,145.759995,136.280869,982300
2016-03-24,145.000000,145.000000,141.729996,144.479996,135.084091,756100
2016-03-28,144.380005,144.550003,139.649994,140.000000,130.895462,892500
2016-03-29,139.880005,140.029999,136.369995,138.860001,129.829590,1882600
2016-03-30,139.860001,143.289993,139.500000,142.630005,133.354416,1167100
2016-03-31,143.089996,146.000000,142.649994,143.580002,134.242615,1085000
2016-04-01,142.320007,143.339996,140.350006,143.020004,133.719055,1062900
2016-04-04,142.960007,144.160004,139.830002,141.309998,132.120255,1102500
2016-04-05,140.259995,142.190002,139.100006,141.300003,132.110901,1077000
2016-04-06,141.699997,145.550003,140.720001,144.699997,135.289810,1026700
2016-04-07,144.240005,146.029999,142.600006,144.860001,135.439423,1236400
2016-04-08,145.669998,146.550003,142.009995,143.250000,133.934113,1076400
2016-04-11,144.759995,145.419998,138.679993,138.910004,129.876343,1135500
2016-04-12,139.339996,140.330002,136.240005,137.190002,128.268173,1284700
2016-04-13,140.000000,143.279999,139.119995,142.740005,133.457275,1072700
2016-04-14,143.490005,144.699997,140.529999,141.440002,132.241821,1009100
2016-04-15,141.759995,141.830002,137.729996,138.279999,129.287323,952200
2016-04-18,136.869995,139.949997,136.869995,139.020004,129.979156,1217500
2016-04-19,140.089996,140.089996,135.380005,137.779999,128.819839,771200
2016-04-20,137.009995,137.979996,135.850006,135.940002,127.099487,1071000
2016-04-21,137.630005,137.940002,133.210007,136.139999,127.286499,1192100
2016-04-22,135.009995,136.210007,132.330002,133.070007,124.416130,986200
2016-04-25,133.000000,133.179993,130.820007,133.080002,124.425453,892300
2016-04-26,133.080002,134.809998,131.990005,133.600006,124.911674,779400
2016-04-27,132.910004,134.779999,132.089996,133.139999,124.481575,713900
2016-04-28,133.509995,137.910004,133.509995,134.880005,126.108406,974000
2016-04-29,134.669998,140.729996,134.669998,140.699997,131.549911,1550900
2016-05-02,139.389999,140.699997,138.100006,139.380005,130.315765,845400
2016-05-03,138.009995,138.910004,136.449997,137.699997,128.745010,884700
2016-05-04,136.850006,140.610001,136.850006,139.490005,130.418625,898900
2016-05-05,140.039993,142.500000,139.589996,140.479996,131.344223,937600
2016-05-06,139.960007,141.779999,137.500000,140.309998,131.185303,974200
2016-05-09,139.500000,140.839996,138.089996,138.960007,129.923126,858100
2016-05-10,139.000000,144.119995,138.229996,143.399994,134.074310,1044000
2016-05-11,143.559998,148.199997,141.820007,145.169998,135.729233,1814700
2016-05-12,149.160004,150.000000,139.570007,145.800003,136.318253,3372600
2016-05-13,146.729996,154.320007,146.559998,153.399994,143.424026,2329800
